"Year","Total Number of Entries Available","Number of Structures Released Annually"
"2025","212,656","14,469"
"2024","198,187","12,545"
"2023","185,642","12,079"
"2022","173,563","11,766"
"2021","161,797","10,362"
"2020","151,435","11,962"
"2019","139,473","9,869"
"2018","129,604","9,640"
"2017","119,964","9,642"
"2016","110,322","9,408"
"2015","100,914","8,002"
"2014","92,912","8,262"
"2013","84,650","8,287"
"2012","76,363","7,730"
"2011","68,633","7,023"
"2010","61,610","6,901"
"2009","54,709","6,610"
"2008","48,099","6,255"
"2007","41,844","6,514"
"2006","35,330","5,735"
"2005","29,595","4,792"
"2004","24,803","4,562"
"2003","20,241","3,638"
"2002","16,603","2,618"
"2001","13,985","2,424"
"2000","11,561","2,265"
"1999","9,296","2,033"
"1998","7,263","1,750"
"1997","5,513","1,294"
"1996","4,219","919"
"1995","3,300","799"
"1994","2,501","1,135"
"1993","1,366","619"
"1992","747","147"
"1991","600","163"
"1990","437","122"
"1989","315","61"
"1988","254","50"
"1987","204","18"
"1986","186","16"
"1985","170","18"
"1984","152","21"
"1983","131","35"
"1982","96","28"
"1981","68","12"
"1980","56","6"
"1979","50","10"
"1978","40","4"
"1977","36","23"
"1976","13","13"